[2024-11-24 23:42:20.084] parseExtensionsStr:30	- Add extension: VK_KHR_external_semaphore_fd
[2024-11-24 23:42:20.084] parseExtensionsStr:30	- Add extension: VK_KHR_external_fence_fd
[2024-11-24 23:42:20.242] SetupSession:335	- Started OpenXR session on runtime 'Monado: Valve Index', hand tracking supported: 0
[2024-11-24 23:42:20.242] PumpEvents:756	- Switch to OpenXR state 1
[2024-11-24 23:42:20.242] PumpEvents:756	- Switch to OpenXR state 2
[2024-11-24 23:42:20.242] PumpEvents:760	- Hit ready state, begin session...
[2024-11-24 23:42:20.259] GetStringTrackedDeviceProperty:335	- Soft Abort triggered (in non-debug mode, continuing - this will only print once): unknown string property - dev: 0, prop: 1001
[2024-11-24 23:42:20.273] CheckOrInitCompositors:189	- Recreating OpenXR session for application graphics API
[2024-11-24 23:42:20.273] ShutdownSession:367	- Session Exit state has not been reached yet, waiting 250ms ...
[2024-11-24 23:42:20.523] PumpEvents:756	- Switch to OpenXR state 3
[2024-11-24 23:42:20.523] PumpEvents:756	- Switch to OpenXR state 6
[2024-11-24 23:42:20.523] PumpEvents:756	- Switch to OpenXR state 1
[2024-11-24 23:42:20.523] PumpEvents:756	- Switch to OpenXR state 8
[2024-11-24 23:42:20.523] PumpEvents:778	- Exiting
[2024-11-24 23:42:20.525] find_queue_family_and_queue_idx:163	- number of queue families is 6
[2024-11-24 23:42:20.525] find_queue_family_and_queue_idx:166	- queue family 0 has 16 queues
[2024-11-24 23:42:20.525] find_queue_family_and_queue_idx:171	- Got desired queue: 0 0
[2024-11-24 23:42:20.527] SetupSession:335	- Started OpenXR session on runtime 'Monado: Valve Index', hand tracking supported: 0
[2024-11-24 23:42:20.527] PumpEvents:756	- Switch to OpenXR state 1
[2024-11-24 23:42:20.527] PumpEvents:756	- Switch to OpenXR state 2
[2024-11-24 23:42:20.527] PumpEvents:760	- Hit ready state, begin session...
[2024-11-24 23:42:20.568] CopyToSwapchain:119	- Generating new swap chain
[2024-11-24 23:42:23.753] CopyToSwapchain:119	- Generating new swap chain
[2024-11-24 23:42:23.759] PumpEvents:756	- Switch to OpenXR state 3
[2024-11-24 23:42:23.759] PumpEvents:756	- Switch to OpenXR state 4
[2024-11-24 23:42:23.759] PumpEvents:756	- Switch to OpenXR state 5
[2024-11-24 23:42:23.759] QueryForInteractionProfile:1094	- Creating infoset
[2024-11-24 23:42:29.572] SetActionManifestPath:359	- Loading manifest file '/home/atlan/.local/share/Steam/steamapps/common/Resonite/Resonite_Data/StreamingAssets/SteamVR/actions.json'
[2024-11-24 23:42:29.572] MaybeRestartForInputs:1078	- Restarting session for inputs...
[2024-11-24 23:42:29.574] ShutdownSession:367	- Session Exit state has not been reached yet, waiting 250ms ...
[2024-11-24 23:42:29.685] PumpEvents:756	- Switch to OpenXR state 4
[2024-11-24 23:42:29.685] PumpEvents:756	- Switch to OpenXR state 3
[2024-11-24 23:42:29.685] PumpEvents:756	- Switch to OpenXR state 6
[2024-11-24 23:42:29.685] PumpEvents:756	- Switch to OpenXR state 1
[2024-11-24 23:42:29.685] PumpEvents:756	- Switch to OpenXR state 8
[2024-11-24 23:42:29.685] PumpEvents:778	- Exiting
[2024-11-24 23:42:29.690] SetupSession:335	- Started OpenXR session on runtime 'Monado: Valve Index', hand tracking supported: 0
[2024-11-24 23:42:29.690] PumpEvents:756	- Switch to OpenXR state 1
[2024-11-24 23:42:29.690] PumpEvents:756	- Switch to OpenXR state 2
[2024-11-24 23:42:29.690] PumpEvents:760	- Hit ready state, begin session...
[2024-11-24 23:42:29.690] MaybeRestartForInputs:1080	- Session restart successful!
[2024-11-24 23:42:29.691] SetActionManifestPath:398	- Parsing actions...
[2024-11-24 23:42:29.691] SetActionManifestPath:485	- Parsing action sets...
[2024-11-24 23:42:29.691] SetActionManifestPath:594	- Loading known bindings...
[2024-11-24 23:42:29.691] LoadBindingsSet:766	- Loading bindings for /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/grip/click to /user/hand/left/input/squeeze/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/grip/click to /user/hand/right/input/squeeze/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/application_menu/click to /user/hand/left/input/menu/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/application_menu/click to /user/hand/right/input/menu/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/grip/click to /user/hand/left/input/squeeze/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/grip/click to /user/hand/right/input/squeeze/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/application_menu/click to /user/hand/left/input/menu/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/application_menu/click to /user/hand/right/input/menu/click for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/pull to /user/hand/left/input/trigger/value for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/right/input/trigger/pull to /user/hand/right/input/trigger/value for profile /interaction_profiles/htc/vive_controller
[2024-11-24 23:42:29.691] LoadBindingsSet:766	- Loading bindings for /interaction_profiles/oculus/touch_controller
[2024-11-24 23:42:29.691] TranslateAction:34	- Translated path /user/hand/left/input/trigger/click to /user/hand/left/input/trigger/value for profile /interaction_profiles/oculus/touch_controller
